timestamp,machine_id,km_post,sleeper_id,lat,lon,operator_id,job_id,firmware_version,pre_level_mm,post_level_mm,pre_align_mm,post_align_mm,gauge_mm,cant_mm,ballast_condition,squeeze_pressure_bar,squeeze_angle_deg,lift_force_kN,align_force_kN,cycle_duration_ms,vibration_peak_g,contactless_duration_ms,energy_compaction_J,void_detected,cycles_per_sleeper,ballast_density_kgm3,ballast_moisture_pct,fouling_index_pct,balast_rigidity_kN_per_mm,engine_hours,engine_rpm,hydraulic_oil_temp_C,tamp_tool_wear_pct,ambient_temp_C,recent_rain_mm,days_since_maintenance,traffic_tonnes_last_month,wim_impact_N,wimdetection_flag,ut_defect_flag,sleeper_material,sleeper_age_years,travel_speed_kmh,travel_direction,tamp_mode,stabilizer_amplitude_mm,pred_settlement_30d_mm,pred_settlement_90d_mm,maintenance_priority_score
2025-01-01 06:00:01,09-3X-PL-001,329+934,S_1000000,22.30239851921803,-100.0429740450566,OP_00,JOB_1000,v1.2.0,-1,3,-7,-7,1446,147,medium,126.68,48.16,33.17,22.98,920,0.877,54,1434.67,False,2,1608,7.5,7.5,9.31,2585.5,1450.0,68.0,13.7,23.9,2.1,45,732514,18382,False,False,concrete,10.2,1.0,S,1-tie,12.47,2.17,5.16,100.0
2025-01-01 06:00:28,09-3X-PL-001,215+792,S_1000001,21.027109879650208,-86.8902169621164,OP_01,JOB_1001,v1.2.0,-4,6,-5,-4,1431,153,contaminated,144.71,32.19,49.62,20.09,744,0.464,5,1502.81,False,1,1473,10.8,30.0,7.08,4937.6,1395.0,60.9,12.05,18.9,1.2,47,395656,79824,False,False,concrete,18.1,1.79,S,1-tie,1.96,-4.05,-11.68,100.0
2025-01-01 06:01:05,09-3X-PL-001,381+801,S_1000002,20.281426697486317,-99.84123951011227,OP_02,JOB_1002,v1.2.0,-8,2,-4,1,1432,147,contaminated,135.03,39.49,50.77,22.27,939,0.457,69,1420.26,False,2,1413,8.0,30.0,6.07,7198.6,1747.0,74.0,15.61,44.0,2.3,35,481660,27691,False,False,concrete,12.6,1.08,N,3-tie,6.05,-4.75,-11.17,100.0
2025-01-01 06:01:32,09-3X-PL-001,496+298,S_1000003,18.795617051146003,-97.40431062245838,OP_03,JOB_1003,v1.2.0,-6,5,-5,-1,1438,148,medium,128.96,36.33,59.25,28.52,868,0.651,7,1843.86,False,3,1602,10.2,11.1,10.04,6280.7,1580.0,59.4,14.48,30.8,4.7,40,332082,37787,False,False,concrete,5.4,1.11,N,3-tie,9.98,-4.44,-13.16,100.0
2025-01-01 06:01:59,09-3X-PL-001,329+517,S_1000004,25.952146423022675,-100.9403434562871,OP_04,JOB_1004,v2.0.0-beta,-1,1,-8,-4,1434,143,loose,116.07,39.47,45.44,20.24,838,0.546,113,1444.6,False,1,1517,6.2,8.5,5.77,1186.0,1407.0,63.3,6.15,10.2,2.5,53,201218,31719,False,False,concrete,8.9,0.75,N,3-tie,7.66,8.28,11.68,100.0
2025-01-01 06:02:31,09-3X-PL-001,25+227,S_1000005,19.606968001735225,-99.18640485645264,OP_05,JOB_1005,v2.0.0-beta,-5,6,-6,-4,1430,152,rigid,121.69,37.31,38.95,25.48,1075,0.952,7,1383.3,False,1,1701,5.6,11.6,13.63,4369.6,1455.0,65.8,12.59,33.3,3.3,55,510437,28574,False,False,concrete,13.6,1.46,N,1-tie,7.43,-2.24,-5.09,100.0
2025-01-01 06:03:04,09-3X-PL-001,52+281,S_1000006,19.28106100421549,-99.69739568197508,OP_06,JOB_1006,v1.4.0,-2,5,-4,0,1431,147,medium,120.38,42.77,41.88,27.54,871,0.657,19,1435.08,False,1,1584,7.6,3.1,7.86,3531.0,1494.0,69.5,9.59,25.0,3.5,36,384757,47625,False,False,concrete,16.3,1.44,S,3-tie,3.91,-3.64,-7.81,100.0
2025-01-01 06:03:27,09-3X-PL-001,440+502,S_1000007,20.35632091716464,-102.76840312644856,OP_07,JOB_1007,v2.0.0-beta,0,8,-4,-3,1427,154,medium,118.2,34.2,59.65,27.49,736,0.792,25,1838.09,False,1,1603,7.7,7.5,9.04,1007.6,1586.0,68.5,6.23,20.6,1.2,62,531744,50404,False,False,concrete,10.0,1.05,N,3-tie,7.7,-4.48,-7.64,100.0
2025-01-01 06:04:01,09-3X-PL-001,263+747,S_1000008,18.035564961278133,-94.62327851362052,OP_08,JOB_1008,v1.2.0,-6,4,-6,-3,1435,158,loose,127.39,41.63,47.36,19.54,925,0.19,27,1743.56,False,1,1501,9.5,8.5,5.99,2908.5,1450.0,64.7,14.84,29.8,1.4,53,578325,41190,False,False,concrete,6.0,1.14,S,3-tie,8.43,-0.22,1.28,100.0
2025-01-01 06:04:35,09-3X-PL-001,412+418,S_1000009,19.858582053832304,-98.90339125263291,OP_09,JOB_1009,v1.3.1,-9,-1,-6,-4,1439,150,contaminated,125.4,46.4,50.59,22.43,798,0.419,30,1752.57,False,1,1495,11.0,30.0,7.17,7880.2,1512.0,60.9,16.92,13.5,0.8,43,597712,37082,False,False,concrete,23.9,0.8,S,3-tie,11.0,-4.75,-12.82,100.0
