timestamp,machine_id,km_post,sleeper_id,lat,lon,operator_id,job_id,firmware_version,pre_level_mm,post_level_mm,pre_align_mm,post_align_mm,gauge_mm,cant_mm,ballast_condition,squeeze_pressure_bar,squeeze_angle_deg,lift_force_kN,align_force_kN,cycle_duration_ms,vibration_peak_g,contactless_duration_ms,energy_compaction_J,void_detected,cycles_per_sleeper,ballast_density_kgm3,ballast_moisture_pct,fouling_index_pct,balast_rigidity_kN_per_mm,engine_hours,engine_rpm,hydraulic_oil_temp_C,tamp_tool_wear_pct,ambient_temp_C,recent_rain_mm,days_since_maintenance,traffic_tonnes_last_month,wim_impact_N,wimdetection_flag,ut_defect_flag,sleeper_material,sleeper_age_years,travel_speed_kmh,travel_direction,tamp_mode,stabilizer_amplitude_mm,pred_settlement_30d_mm,pred_settlement_90d_mm,maintenance_priority_score
2025-01-01 06:00:01,09-3X-PL-001,329+934,S_1000000,19.32938013162413,-98.60408189354203,OP_00,JOB_1000,v1.2.0,-1,3,-7,-7,1446,147,medium,126.68,48.16,33.17,22.98,920,0.877,54,1434.67,False,2,1608,7.5,7.5,9.31,2585.5,1450.0,68.0,13.7,23.9,2.1,45,732514,18382,False,False,concrete,10.2,1.0,S,1-tie,12.47,2.17,5.16,100.0
2025-01-01 06:00:28,09-3X-PL-001,215+792,S_1000001,19.215550765637474,-98.74145777585237,OP_01,JOB_1001,v1.2.0,-4,6,-5,-4,1431,153,contaminated,144.71,32.19,49.62,20.09,744,0.464,5,1502.81,False,1,1473,10.8,30.0,7.08,4937.6,1395.0,60.9,12.05,18.9,1.2,47,395656,79824,False,False,concrete,18.1,1.79,S,1-tie,1.96,-4.05,-11.68,100.0
2025-01-01 06:01:05,09-3X-PL-001,381+801,S_1000002,19.381598931843573,-98.54122732895554,OP_02,JOB_1002,v1.2.0,-8,2,-4,1,1432,147,contaminated,135.03,39.49,50.77,22.27,939,0.457,69,1420.26,False,2,1413,8.0,30.0,6.07,7198.6,1747.0,74.0,15.61,44.0,2.3,35,481660,27691,False,False,concrete,12.6,1.08,N,3-tie,6.05,-4.75,-11.17,100.0
2025-01-01 06:01:32,09-3X-PL-001,496+298,S_1000003,19.497087940533177,-98.40508186422855,OP_03,JOB_1003,v1.2.0,-6,5,-5,-1,1438,148,medium,128.96,36.33,59.25,28.52,868,0.651,7,1843.86,False,3,1602,10.2,11.1,10.04,6280.7,1580.0,59.4,14.48,30.8,4.7,40,332082,37787,False,False,concrete,5.4,1.11,N,3-tie,9.98,-4.44,-13.16,100.0
2025-01-01 06:01:59,09-3X-PL-001,329+517,S_1000004,19.329358745614925,-98.60477964002189,OP_04,JOB_1004,v2.0.0-beta,-1,1,-8,-4,1434,143,loose,116.07,39.47,45.44,20.24,838,0.546,113,1444.6,False,1,1517,6.2,8.5,5.77,1186.0,1407.0,63.3,6.15,10.2,2.5,53,201218,31719,False,False,concrete,8.9,0.75,N,3-tie,7.66,8.28,11.68,100.0
2025-01-01 06:02:31,09-3X-PL-001,25+227,S_1000005,19.024962624684058,-98.97032698598856,OP_05,JOB_1005,v2.0.0-beta,-5,6,-6,-4,1430,152,rigid,121.69,37.31,38.95,25.48,1075,0.952,7,1383.3,False,1,1701,5.6,11.6,13.63,4369.6,1455.0,65.8,12.59,33.3,3.3,55,510437,28574,False,False,concrete,13.6,1.46,N,1-tie,7.43,-2.24,-5.09,100.0
2025-01-01 06:03:04,09-3X-PL-001,52+281,S_1000006,19.052234454097125,-98.93766195612046,OP_06,JOB_1006,v1.4.0,-2,5,-4,0,1431,147,medium,120.38,42.77,41.88,27.54,871,0.657,19,1435.08,False,1,1584,7.6,3.1,7.86,3531.0,1494.0,69.5,9.59,25.0,3.5,36,384757,47625,False,False,concrete,16.3,1.44,S,3-tie,3.91,-3.64,-7.81,100.0
2025-01-01 06:03:27,09-3X-PL-001,440+502,S_1000007,19.439648199386784,-98.47129763406323,OP_07,JOB_1007,v2.0.0-beta,0,8,-4,-3,1427,154,medium,118.2,34.2,59.65,27.49,736,0.792,25,1838.09,False,1,1603,7.7,7.5,9.04,1007.6,1586.0,68.5,6.23,20.6,1.2,62,531744,50404,False,False,concrete,10.0,1.05,N,3-tie,7.7,-4.48,-7.64,100.0
2025-01-01 06:04:01,09-3X-PL-001,263+747,S_1000008,19.26256861535495,-98.68333383791256,OP_08,JOB_1008,v1.2.0,-6,4,-6,-3,1435,158,loose,127.39,41.63,47.36,19.54,925,0.19,27,1743.56,False,1,1501,9.5,8.5,5.99,2908.5,1450.0,64.7,14.84,29.8,1.4,53,578325,41190,False,False,concrete,6.0,1.14,S,3-tie,8.43,-0.22,1.28,100.0
2025-01-01 06:04:35,09-3X-PL-001,412+418,S_1000009,19.4117275220789,-98.50564880051948,OP_09,JOB_1009,v1.3.1,-9,-1,-6,-4,1439,150,contaminated,125.4,46.4,50.59,22.43,798,0.419,30,1752.57,False,1,1495,11.0,30.0,7.17,7880.2,1512.0,60.9,16.92,13.5,0.8,43,597712,37082,False,False,concrete,23.9,0.8,S,3-tie,11.0,-4.75,-12.82,100.0
2025-01-01 06:05:05,09-3X-PL-001,428+306,S_1000010,19.42846821958826,-98.48512801818401,OP_10,JOB_1010,v1.3.1,-7,-1,-2,4,1434,141,void,152.31,40.74,58.07,29.38,1101,0.628,198,1751.95,False,2,1415,6.5,4.4,6.02,2607.2,1383.0,61.5,9.06,25.5,0.3,48,658282,30705,False,False,concrete,16.8,1.08,N,3-tie,4.44,-0.04,3.4,100.0
2025-01-01 06:05:32,09-3X-PL-001,463+837,S_1000011,19.463835932296856,-98.4444398438112,OP_11,JOB_1011,v1.3.1,0,6,-4,0,1439,145,medium,129.1,47.24,46.76,24.01,823,0.781,38,2189.47,False,1,1625,5.5,2.1,9.57,6374.4,1636.0,53.6,18.48,21.8,0.8,52,642667,4462,False,False,concrete,18.6,1.31,S,3-tie,6.37,1.32,11.65,45.3
2025-01-01 06:05:59,09-3X-PL-001,474+914,S_1000012,19.47534915530388,-98.43003769126852,OP_12,JOB_1012,v1.2.0,-3,4,-6,-3,1434,156,loose,138.97,44.86,53.24,29.62,808,1.176,4,1951.13,False,1,1492,11.9,8.2,6.47,3533.0,1589.0,59.0,18.91,6.6,2.4,53,363461,33574,False,False,wood,24.9,1.2,S,precision,3.43,3.64,1.83,100.0
2025-01-01 06:06:28,09-3X-PL-001,277+412,S_1000013,19.276652712735476,-98.66702694623503,OP_13,JOB_1013,v1.4.0,-5,5,-3,2,1433,152,medium,120.25,37.76,42.83,23.71,932,0.456,46,1315.21,False,1,1639,7.6,9.4,8.91,2036.1,1388.0,73.6,11.23,23.5,2.8,61,491080,68124,False,False,concrete,7.8,0.74,S,3-tie,6.13,-5.64,-14.74,100.0
2025-01-01 06:07:02,09-3X-PL-001,170+510,S_1000014,19.17040805452998,-98.79525615539106,OP_14,JOB_1014,v1.3.1,-2,6,-11,-6,1436,144,medium,112.89,37.73,46.58,26.82,913,0.95,2,1664.54,False,1,1560,8.3,7.1,9.28,1687.0,1547.0,69.1,3.91,22.4,3.9,50,392793,70296,False,False,concrete,5.5,0.71,N,precision,3.82,-2.79,0.12,100.0
2025-01-01 06:07:32,09-3X-PL-001,480+932,S_1000015,19.48013652614788,-98.42244141087792,OP_15,JOB_1015,v1.4.0,-7,-6,-5,-2,1433,158,medium,108.28,47.18,37.44,25.93,933,1.012,50,1395.6,False,1,1657,9.5,0.6,8.73,5709.3,1641.0,64.8,16.91,17.2,3.2,44,527611,46891,False,False,concrete,11.8,0.76,N,1-tie,11.96,3.37,9.77,100.0
2025-01-01 06:07:57,09-3X-PL-001,273+703,S_1000016,19.2738368632553,-98.67308090521222,OP_16,JOB_1016,v1.4.0,-6,-5,-5,1,1434,156,rigid,100.58,35.91,44.93,35.35,1092,0.766,39,1390.68,False,1,1721,5.8,8.0,11.8,3605.4,1547.0,58.5,11.04,33.1,2.5,36,513761,41409,False,False,concrete,24.6,1.11,S,3-tie,2.72,-2.23,-11.33,100.0
2025-01-01 06:08:30,09-3X-PL-001,32+126,S_1000017,19.03143741224404,-98.96183539144224,OP_17,JOB_1017,v1.2.0,-8,0,-5,-5,1434,155,medium,117.24,28.0,63.4,25.76,989,0.813,41,1608.6,False,1,1615,8.7,6.4,10.19,1280.2,1491.0,74.9,13.47,18.5,2.4,54,671764,58951,False,False,concrete,10.2,0.93,N,3-tie,9.79,-5.19,-6.53,100.0
2025-01-01 06:08:59,09-3X-PL-001,321+388,S_1000018,19.321266590881454,-98.61425843603153,OP_18,JOB_1018,v1.2.0,0,10,-7,-6,1427,148,medium,122.94,41.55,53.97,22.85,644,1.255,31,1401.79,False,1,1586,6.9,6.8,8.46,7546.6,1540.0,69.4,21.76,16.0,3.0,45,650095,26549,False,False,wood,4.3,1.56,N,3-tie,10.57,-7.83,-3.76,100.0
