id,timestamp,site_id,synth_point_id,lat,lon,epsg,sensor,resolution_m,NDVI,NDWI,NDMI,BSI,NBR,clay_frac,mm_interval,mm_cumulative,VV_bit,VH_bit,B_bit,score_NDVI,score_NDWI,score_NDMI,score_BSI,score_NBR,score_clay,score_insar,score_amplitude,score_overall,flags,seed,is_bad_track,notes,total,density,maintenance_priority,priority_category
rec_49,2025-10-25T00:00:00Z,line85_ord0,line85_ord0_p0,19.29458476,-99.37798076,4326,S1+S2_synthetic,10,0.386000473,-0.135699626,-0.080120373,0.121408621,0.255361606,0.012690843,2.366304568,24.29703517,16893,4566,12146,0.261109798,0.075938668,0.333082557,0.433602216,0.134663321,0.031727107,1.0,0.420022516,0.395925411,"[""cloud_mask"", ""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=36.63; surface=urban; bsi_profile=bare,216,0.236111111,-0.429199195,LOW
rec_50,2025-10-26T00:00:00Z,line85_ord0,line85_ord0_p0,19.29458476,-99.37798076,4326,S1+S2_synthetic,10,0.453120109,-0.169843322,-0.102804186,0.131228323,0.289155928,0.026483516,2.661860605,23.82593426,9804,4395,7132,0.326399759,0.075391695,0.32865969,0.374938065,0.18474012,0.066208791,1.0,0.296227204,0.405444699,"[""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=36.63; surface=urban; bsi_profile=bare,216,0.236111111,-0.429199195,LOW
rec_51,2025-10-27T00:00:00Z,line85_ord0,line85_ord0_p0,19.29458476,-99.37798076,4326,S1+S2_synthetic,10,0.426625445,-0.172557029,-0.103226087,0.064037106,0.329225759,0.038136735,5.115484704,25.80845745,14030,3232,11355,0.385276788,0.068607428,0.327956522,0.182963161,0.117957069,0.095341837,1.0,0.13075422,0.380404258,"[""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=36.63; surface=urban; bsi_profile=bare,216,0.236111111,-0.429199195,LOW
rec_52,2025-10-28T00:00:00Z,line85_ord0,line85_ord0_p0,19.29458476,-99.37798076,4326,S1+S2_synthetic,10,0.466678547,-0.166964536,-0.102600034,0.037354149,0.265497258,0.049569229,3.647102141,26.32259808,11467,1617,12824,0.296269897,0.082588659,0.328999943,0.10672614,0.224171237,0.123923072,1.0,0.128203042,0.373767442,"[""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=36.63; surface=urban; bsi_profile=bare,216,0.236111111,-0.429199195,LOW
rec_53,2025-10-29T00:00:00Z,line85_ord0,line85_ord0_p0,19.29458476,-99.37798076,4326,S1+S2_synthetic,10,0.45711065,-0.158550578,-0.099065072,0.040895687,0.308601653,0.04691795,3.309023112,26.49865968,10777,5203,7460,0.317531888,0.103623556,0.334891547,0.11684482,0.152330578,0.117294876,1.0,0.197918419,0.374397199,"[""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=36.63; surface=urban; bsi_profile=bare,216,0.236111111,-0.429199195,LOW
rec_54,2025-10-30T00:00:00Z,line85_ord0,line85_ord0_p0,19.29458476,-99.37798076,4326,S1+S2_synthetic,10,0.460372975,-0.170804114,-0.087771108,0.050398346,0.325693275,0.054859975,3.68163389,27.04733205,12431,2502,11183,0.310282278,0.072989714,0.35371482,0.143995273,0.123844542,0.137149938,1.0,0.030803588,0.363786535,"[""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=36.63; surface=urban; bsi_profile=bare,216,0.236111111,-0.429199195,LOW
rec_55,2025-10-31T00:00:00Z,line85_ord0,line85_ord0_p0,19.29458476,-99.37798076,4326,S1+S2_synthetic,10,0.450974974,-0.155138009,-0.105010635,0.060860137,0.326268108,0.02230657,4.880703822,28.79507436,8072,1170,10930,0.331166724,0.112154979,0.324982275,0.173886105,0.122886487,0.055766426,1.0,0.471222903,0.388367234,"[""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=36.63; surface=urban; bsi_profile=bare,216,0.236111111,-0.429199195,LOW
rec_56,2025-11-01T00:00:00Z,line85_ord0,line85_ord0_p0,19.29458476,-99.37798076,4326,S1+S2_synthetic,10,0.457544157,-0.153540716,-0.11782172,0.079586367,0.40574635,0.017879868,3.82285671,29.48496955,18413,2516,16522,0.316568541,0.116148211,0.303630467,0.227389621,0.0,0.044699671,1.0,0.573598419,0.374126966,"[""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=36.63; surface=urban; bsi_profile=bare,216,0.236111111,-0.429199195,LOW
rec_65,2025-10-25T00:00:00Z,line85_ord0,line85_ord0_p0,19.2952454,-99.39974161,4326,S1+S2_synthetic,10,0.615200468,-0.23899561,-0.118360387,0.039483382,0.322428173,0.024765796,-2.328353861,-25.49724557,5587,4454,4047,0.0,0.0,0.302732689,0.112809663,0.129286379,0.061914489,1.0,0.17934337,0.288146719,"[""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=34.58; surface=vegetated; bsi_profile=bare,261,0.268199234,0.633518132,MEDIUM
rec_66,2025-10-26T00:00:00Z,line85_ord0,line85_ord0_p0,19.2952454,-99.39974161,4326,S1+S2_synthetic,10,0.616686002,-0.240084028,-0.060439315,0.025298546,0.324365641,0.022174775,-3.401069592,-25.58847349,2327,2111,2266,0.0,0.0,0.399267809,0.07228156,0.126057265,0.055436937,1.0,0.532245719,0.31541105,"[""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=34.58; surface=vegetated; bsi_profile=bare,261,0.268199234,0.633518132,MEDIUM
